Timestamp,CPU_Usage(%),Memory_Usage(%),Memory_Used(GB),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Temp(C),CPU_Temp(C),FPS,Frame_Count,Latency(ms)
2025-11-12 18:03:37,54.4,22.2,5.63,55.2,0.0,43.53,0.0,0.0,0,0.0
2025-11-12 18:03:42,80.0,22.3,5.65,14.1,0.0,43.59,0.0,0.0,0,0.0
2025-11-12 18:03:47,75.3,23.4,5.98,45.0,0.0,44.0,0.0,0.0,0,0.0
2025-11-12 18:03:52,52.6,23.5,6.03,13.4,0.0,43.88,0.0,0.0,0,0.0
2025-11-12 18:03:58,58.8,23.5,6.03,35.0,0.0,43.75,0.0,0.0,0,0.0
2025-11-12 18:04:03,55.4,23.6,6.04,51.0,0.0,43.69,0.0,0.0,0,0.0
2025-11-12 18:04:08,60.8,23.6,6.03,50.1,0.0,43.81,0.0,0.0,0,0.0
2025-11-12 18:04:13,54.1,23.6,6.03,1.3,0.0,43.94,0.0,0.0,0,0.0
2025-11-12 18:04:19,55.8,23.6,6.04,0.0,0.0,43.91,0.0,0.0,0,0.0
2025-11-12 18:04:24,70.9,23.6,6.03,9.8,0.0,43.91,0.0,0.0,0,0.0
2025-11-12 18:04:29,57.0,23.6,6.03,48.7,0.0,44.25,0.0,0.0,0,0.0
2025-11-12 18:04:34,57.5,23.6,6.04,16.8,0.0,43.97,0.0,0.0,0,0.0
2025-11-12 18:04:39,52.6,23.6,6.03,8.6,0.0,44.31,0.0,0.0,0,0.0
2025-11-12 18:04:44,54.1,23.6,6.03,39.4,0.0,44.19,0.0,0.0,0,0.0
2025-11-12 18:04:49,58.0,24.1,6.19,54.2,0.0,44.12,0.0,0.0,0,0.0
2025-11-12 18:04:55,59.2,24.2,6.22,15.6,0.0,44.03,0.0,0.0,0,0.0
2025-11-12 18:05:01,64.6,24.2,6.23,42.8,0.0,44.03,0.0,0.0,0,0.0
2025-11-12 18:05:07,63.8,24.2,6.23,35.6,0.0,44.25,0.0,0.0,0,0.0
2025-11-12 18:05:12,61.0,24.3,6.24,56.3,0.0,44.31,0.0,0.0,0,0.0
2025-11-12 18:05:17,62.5,24.2,6.23,47.8,0.0,44.66,0.0,0.0,0,0.0
2025-11-12 18:05:22,57.1,24.3,6.24,26.5,0.0,44.47,0.0,0.0,0,0.0
2025-11-12 18:05:28,59.5,24.3,6.24,67.9,0.0,44.38,0.0,0.0,0,0.0
2025-11-12 18:05:34,59.5,24.3,6.24,46.4,0.0,44.72,0.0,0.0,0,0.0
2025-11-12 18:05:40,59.8,24.3,6.25,61.7,0.0,44.28,0.0,0.0,0,0.0
2025-11-12 18:05:46,56.2,24.3,6.25,63.1,0.0,44.72,0.0,0.0,0,0.0
